pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
571|Resistance_or_Tolerance|Blast_resistance|parial_resistance_to_neck_blast|qCA-2	0.00106723585912487	0.0405405405405405	0.892307692307692	2.34243893765628	0	12	LOC_Os02g37830, LOC_Os02g37820, LOC_Os02g37700, LOC_Os02g37690, LOC_Os02g37600, LOC_Os02g37590, LOC_Os02g37580, LOC_Os02g37570, LOC_Os02g37550, LOC_Os02g37540, LOC_Os02g37520, LOC_Os02g37500
1004|Morphological_trait|Seed|grains_per_panicle|gpp4	0.00268456375838926	0.0405405405405405	0.959459459459459	1.71597564146812	1	3	LOC_Os04g53020, LOC_Os04g48300, LOC_Os04g40350
175|Morphological_trait|Panicle/flower|Awned|An10	0.00600600600600601	0.0405405405405405	-1	-1.60748870238864	1	2	LOC_Os01g59540, LOC_Os01g62720
206|Physiological_trait|Source_activity|number_of_filled_grains_per_panicle|-	0.00600600600600601	0.0405405405405405	-1	-1.60748870238864	1	2	LOC_Os01g59540, LOC_Os01g62720
632|Morphological_trait|Panicle/flower|Number_of_grains_per_panicle|ng1	0.00600600600600601	0.0405405405405405	-1	-1.60748870238864	1	2	LOC_Os01g59540, LOC_Os01g62720
633|Physiological_trait|Source_activity|Spikelet_fertility|sf1	0.00600600600600601	0.0405405405405405	-1	-1.60748870238864	1	2	LOC_Os01g59540, LOC_Os01g62720
643|Physiological_trait|Source_activity|number_of_filled_grain_per_panicle_(NFG)|-	0.00600600600600601	0.0405405405405405	-1	-1.60748870238864	1	2	LOC_Os01g59540, LOC_Os01g62720
798|Physiological_trait|Flowering|days_to_heading|dth1.1	0.00600600600600601	0.0405405405405405	-1	-1.60748870238864	1	2	LOC_Os01g59540, LOC_Os01g62720
863|Resistance_or_Tolerance|Drought_tolerance|Panicles/m2|-	0.00600600600600601	0.0405405405405405	-1	-1.60748870238864	1	2	LOC_Os01g59540, LOC_Os01g62720
880|Morphological_trait|Seed|Number_of_grains/plant|ng1	0.00600600600600601	0.0405405405405405	-1	-1.60748870238864	1	2	LOC_Os01g59540, LOC_Os01g62720
881|Morphological_trait|Seed|Spikelet_fertility|sf1	0.00600600600600601	0.0405405405405405	-1	-1.60748870238864	1	2	LOC_Os01g59540, LOC_Os01g62720
93|Resistance_or_Tolerance|Drought_tolerance|basal_root_thickness|brt1d	0.00600600600600601	0.0405405405405405	-1	-1.60748870238864	1	2	LOC_Os01g59540, LOC_Os01g62720
113|Morphological_trait|Seed|Plot_yield|yld2.1	0.0172413793103448	0.0685384615384615	-0.636363636363636	-2.72126859360957	0	66	LOC_Os02g36414, LOC_Os02g36500, LOC_Os02g36505, LOC_Os02g36510, LOC_Os02g36520, LOC_Os02g36550, LOC_Os02g36570, LOC_Os02g36590, LOC_Os02g36595, LOC_Os02g36600, LOC_Os02g36619, LOC_Os02g36670, LOC_Os02g36680, LOC_Os02g36690, LOC_Os02g36700, LOC_Os02g36710, LOC_Os02g36740, LOC_Os02g36830, LOC_Os02g36840, LOC_Os02g36850, LOC_Os02g36870, LOC_Os02g36880, LOC_Os02g36890, LOC_Os02g36924, LOC_Os02g36940, LOC_Os02g36960, LOC_Os02g36974, LOC_Os02g36990, LOC_Os02g37000, LOC_Os02g37010, LOC_Os02g37020, LOC_Os02g37030, LOC_Os02g37050, LOC_Os02g37070, LOC_Os02g37080, LOC_Os02g37100, LOC_Os02g37120, LOC_Os02g37140, LOC_Os02g37160, LOC_Os02g37190, LOC_Os02g37200, LOC_Os02g37250, LOC_Os02g37260, LOC_Os02g37320, LOC_Os02g37330, LOC_Os02g37360, LOC_Os02g37380, LOC_Os02g37390, LOC_Os02g37420, LOC_Os02g37430, LOC_Os02g37440, LOC_Os02g37470, LOC_Os02g37480, LOC_Os02g37490, LOC_Os02g37500, LOC_Os02g37520, LOC_Os02g37540, LOC_Os02g37550, LOC_Os02g37570, LOC_Os02g37580, LOC_Os02g37590, LOC_Os02g37600, LOC_Os02g37690, LOC_Os02g37700, LOC_Os02g37820, LOC_Os02g37830
26|Resistance_or_Tolerance|Insect_resistance|Honeydew_weight_(HDW)|-	0.0172413793103448	0.0685384615384615	-0.636363636363636	-2.72126859360957	0	66	LOC_Os02g36414, LOC_Os02g36500, LOC_Os02g36505, LOC_Os02g36510, LOC_Os02g36520, LOC_Os02g36550, LOC_Os02g36570, LOC_Os02g36590, LOC_Os02g36595, LOC_Os02g36600, LOC_Os02g36619, LOC_Os02g36670, LOC_Os02g36680, LOC_Os02g36690, LOC_Os02g36700, LOC_Os02g36710, LOC_Os02g36740, LOC_Os02g36830, LOC_Os02g36840, LOC_Os02g36850, LOC_Os02g36870, LOC_Os02g36880, LOC_Os02g36890, LOC_Os02g36924, LOC_Os02g36940, LOC_Os02g36960, LOC_Os02g36974, LOC_Os02g36990, LOC_Os02g37000, LOC_Os02g37010, LOC_Os02g37020, LOC_Os02g37030, LOC_Os02g37050, LOC_Os02g37070, LOC_Os02g37080, LOC_Os02g37100, LOC_Os02g37120, LOC_Os02g37140, LOC_Os02g37160, LOC_Os02g37190, LOC_Os02g37200, LOC_Os02g37250, LOC_Os02g37260, LOC_Os02g37320, LOC_Os02g37330, LOC_Os02g37360, LOC_Os02g37380, LOC_Os02g37390, LOC_Os02g37420, LOC_Os02g37430, LOC_Os02g37440, LOC_Os02g37470, LOC_Os02g37480, LOC_Os02g37490, LOC_Os02g37500, LOC_Os02g37520, LOC_Os02g37540, LOC_Os02g37550, LOC_Os02g37570, LOC_Os02g37580, LOC_Os02g37590, LOC_Os02g37600, LOC_Os02g37690, LOC_Os02g37700, LOC_Os02g37820, LOC_Os02g37830
283|Resistance_or_Tolerance|Drought_tolerance|Root_thickness|qRTT2-1	0.0172413793103448	0.0685384615384615	-0.636363636363636	-2.72126859360957	0	66	LOC_Os02g36414, LOC_Os02g36500, LOC_Os02g36505, LOC_Os02g36510, LOC_Os02g36520, LOC_Os02g36550, LOC_Os02g36570, LOC_Os02g36590, LOC_Os02g36595, LOC_Os02g36600, LOC_Os02g36619, LOC_Os02g36670, LOC_Os02g36680, LOC_Os02g36690, LOC_Os02g36700, LOC_Os02g36710, LOC_Os02g36740, LOC_Os02g36830, LOC_Os02g36840, LOC_Os02g36850, LOC_Os02g36870, LOC_Os02g36880, LOC_Os02g36890, LOC_Os02g36924, LOC_Os02g36940, LOC_Os02g36960, LOC_Os02g36974, LOC_Os02g36990, LOC_Os02g37000, LOC_Os02g37010, LOC_Os02g37020, LOC_Os02g37030, LOC_Os02g37050, LOC_Os02g37070, LOC_Os02g37080, LOC_Os02g37100, LOC_Os02g37120, LOC_Os02g37140, LOC_Os02g37160, LOC_Os02g37190, LOC_Os02g37200, LOC_Os02g37250, LOC_Os02g37260, LOC_Os02g37320, LOC_Os02g37330, LOC_Os02g37360, LOC_Os02g37380, LOC_Os02g37390, LOC_Os02g37420, LOC_Os02g37430, LOC_Os02g37440, LOC_Os02g37470, LOC_Os02g37480, LOC_Os02g37490, LOC_Os02g37500, LOC_Os02g37520, LOC_Os02g37540, LOC_Os02g37550, LOC_Os02g37570, LOC_Os02g37580, LOC_Os02g37590, LOC_Os02g37600, LOC_Os02g37690, LOC_Os02g37700, LOC_Os02g37820, LOC_Os02g37830
