psLayout version 3

match	mis- 	rep. 	N's	Q gap	Q gap	T gap	T gap	strand	Q        	Q   	Q    	Q  	T        	T   	T    	T  	block	blockSizes 	qStarts	 tStarts
     	match	match	   	count	bases	count	bases	      	name     	size	start	end	name     	size	start	end	count
---------------------------------------------------------------------------------------------------------------------------------------------------------------
510	0	0	0	0	0	1	33	+	LOC_Os01g10590.1	510	0	510	OsN22RS2_01T0480500.1	543	0	543	2	159,351,	0,159,	0,192,
529	2	0	0	0	0	0	0	+	LOC_Os01g11940.1	1240	381	912	OsN22RS2_01T0142900.2	531	0	531	1	531,	381,	0,
825	6	0	0	0	0	0	0	+	LOC_Os01g11940.1	1240	81	912	OsN22RS2_01T0142900.1	831	0	831	1	831,	81,	0,
330	0	0	0	0	0	0	0	+	LOC_Os01g15340.1	893	95	425	OsN22RS2_01T0506000.1	330	0	330	1	330,	95,	0,
521	7	0	0	0	0	2	15	+	LOC_Os01g54490.1	528	0	528	OsN22RS2_01T0358300.1	543	0	543	3	254,38,236,	0,254,292,	0,266,307,
374	1	0	0	1	9	1	3	+	LOC_Os01g70730.1	906	167	551	OsN22RS2_01T0603500.1	378	0	378	3	70,153,152,	167,246,399,	0,70,226,
555	3	0	0	0	0	0	0	+	LOC_Os02g13830.1	558	0	558	OsN22RS2_02T0091800.1	558	0	558	1	558,	0,	0,
228	20	0	0	0	0	2	8	+	LOC_Os02g26210.1	1212	297	545	OsN22RS2_04T0386100.1	357	97	353	3	238,3,7,	297,535,538,	97,341,346,
367	2	0	0	0	0	0	0	+	LOC_Os02g26210.1	1212	194	563	OsN22RS2_02T0019100.1	369	0	369	1	369,	194,	0,
49	2	0	0	1	252	1	240	+	LOC_Os02g26210.1	1212	206	509	OsN22RS2_01T0506000.1	330	12	303	2	17,34,	206,475,	12,269,
524	1	0	0	0	0	0	0	+	LOC_Os02g39064.1	525	0	525	OsN22RS2_02T0156300.1	525	0	525	1	525,	0,	0,
411	1	0	0	0	0	0	0	+	LOC_Os03g29680.1	1349	400	812	OsN22RS2_03T0149600.1	426	14	426	1	412,	400,	14,
96	4	0	0	0	0	0	0	-	LOC_Os03g29680.1	1349	1021	1121	OsN22RS2_07T0363100.2	2289	2167	2267	1	100,	228,	2167,
96	4	0	0	0	0	0	0	-	LOC_Os03g29680.1	1349	1021	1121	OsN22RS2_07T0363100.1	2232	2110	2210	1	100,	228,	2110,
356	1	0	0	0	0	0	0	+	LOC_Os04g21350.1	890	85	442	OsN22RS2_04T0386100.1	357	0	357	1	357,	85,	0,
227	21	0	0	1	8	0	0	+	LOC_Os04g21350.1	890	182	438	OsN22RS2_02T0019100.1	369	103	351	2	241,7,	182,431,	103,344,
255	0	0	0	0	0	0	0	+	LOC_Os04g41130.1	3433	2281	2536	OsN22RS2_04T0239000.1	261	0	255	1	255,	2281,	0,
144	0	0	0	1	290	0	0	-	LOC_Os04g41130.1	3433	0	434	OsN22RS2_04T0238900.2	252	0	144	2	61,83,	2999,3350,	0,61,
350	0	0	0	4	2160	1	10	-	LOC_Os04g41130.1	3433	514	3024	OsN22RS2_04T0238900.1	2007	1647	2007	5	87,151,8,12,92,	409,604,929,958,2827,	1647,1734,1895,1903,1915,
524	1	0	0	0	0	0	0	+	LOC_Os05g44180.1	525	0	525	OsN22RS2_05T0252000.1	525	0	525	1	525,	0,	0,
478	42	0	0	4	11	2	14	+	LOC_Os06g06300.1	866	257	788	OsN22RS2_06T0277700.1	540	0	534	5	8,7,383,5,117,	257,271,281,665,671,	0,20,27,412,417,
527	8	0	0	2	2	1	2	+	LOC_Os06g06300.1	866	257	794	OsN22RS2_06T0277400.1	537	0	537	3	407,5,123,	257,665,671,	0,409,414,
533	1	0	0	0	0	0	0	+	LOC_Os06g06320.1	847	152	686	OsN22RS2_06T0277700.1	540	0	534	1	534,	152,	0,
491	37	0	0	1	12	2	9	+	LOC_Os06g06320.1	847	152	692	OsN22RS2_06T0277400.1	537	0	537	3	8,7,513,	152,172,179,	0,14,24,
521	1	0	0	0	0	0	0	+	LOC_Os06g35940.1	940	75	597	OsN22RS2_06T0014500.1	522	0	522	1	522,	75,	0,
693	4	0	0	0	0	2	56	+	LOC_Os08g27860.1	1176	212	909	OsN22RS2_08T0097000.1	1062	309	1062	3	73,165,459,	212,285,450,	309,385,603,
572	8	0	0	0	0	0	0	+	LOC_Os08g27870.1	594	14	594	OsN22RS2_08T0247900.1	1017	437	1017	1	580,	14,	437,
2255	7	0	0	1	47	0	0	+	LOC_Os09g03610.1	2801	126	2435	OsN22RS2_09T0095400.1	2262	0	2262	2	2179,83,	126,2352,	0,2179,
302	0	0	0	0	0	0	0	+	LOC_Os09g33850.1	522	0	302	OsN22RS2_09T0114400.1	309	0	302	1	302,	0,	0,
524	1	0	0	0	0	0	0	+	LOC_Os11g18870.1	525	0	525	OsN22RS2_11T0036400.1	525	0	525	1	525,	0,	0,
35	1	0	0	1	1	1	4	-	LOC_Os11g40610.1	1416	923	960	OsN22RS2_02T0233500.1	633	208	248	2	16,20,	456,473,	208,228,
534	0	0	0	0	0	0	0	+	LOC_Os12g13030.1	534	0	534	OsN22RS2_12T0133500.1	534	0	534	1	534,	0,	0,
