psLayout version 3

match	mis- 	rep. 	N's	Q gap	Q gap	T gap	T gap	strand	Q        	Q   	Q    	Q  	T        	T   	T    	T  	block	blockSizes 	qStarts	 tStarts
     	match	match	   	count	bases	count	bases	      	name     	size	start	end	name     	size	start	end	count
---------------------------------------------------------------------------------------------------------------------------------------------------------------
33	2	0	0	0	0	0	0	+	OsN22RS2_02T0360100.3	240	171	206	LOC_Os02g36450.2	1753	0	35	1	35,	171,	0,
33	2	0	0	0	0	0	0	+	OsN22RS2_02T0360100.3	240	171	206	LOC_Os02g36450.1	1866	0	35	1	35,	171,	0,
33	2	0	0	0	0	0	0	+	OsN22RS2_02T0360100.3	240	171	206	LOC_Os02g36450	1866	0	35	1	35,	171,	0,
158	3	0	0	2	5	3	40	+	OsN22RS2_02T0360100.3	240	0	166	LOC_Os02g36414.1	2308	1860	2061	6	7,26,57,17,46,8,	0,9,35,95,112,158,	1860,1867,1902,1959,1977,2053,
158	3	0	0	2	5	3	40	+	OsN22RS2_02T0360100.3	240	0	166	LOC_Os02g36414	2308	1860	2061	6	7,26,57,17,46,8,	0,9,35,95,112,158,	1860,1867,1902,1959,1977,2053,
45	4	0	0	0	0	0	0	+	OsN22RS2_02T0360100.4	1422	1084	1133	LOC_Os07g01560.2	2120	833	882	1	49,	1084,	833,
1404	9	0	0	3	9	0	0	+	OsN22RS2_02T0360100.4	1422	0	1422	LOC_Os02g36414.1	2308	393	1806	4	1351,30,17,15,	0,1354,1387,1407,	393,1744,1774,1791,
1404	9	0	0	3	9	0	0	+	OsN22RS2_02T0360100.4	1422	0	1422	LOC_Os02g36414	2308	393	1806	4	1351,30,17,15,	0,1354,1387,1407,	393,1744,1774,1791,
45	4	0	0	0	0	0	0	-	OsN22RS2_02T0360100.4	1422	1084	1133	LOC_Os07g01550.1	4010	3619	3668	1	49,	289,	3619,
45	4	0	0	0	0	0	0	-	OsN22RS2_02T0360100.4	1422	1084	1133	LOC_Os07g01550	4010	3619	3668	1	49,	289,	3619,
32	1	0	0	0	0	0	0	+	OsN22RS2_02T0360100.1	1620	1428	1461	LOC_Os08g08070.1	2060	1485	1518	1	33,	1428,	1485,
32	1	0	0	0	0	0	0	+	OsN22RS2_02T0360100.1	1620	1428	1461	LOC_Os08g08070	2060	1485	1518	1	33,	1428,	1485,
39	2	0	0	0	0	1	24	+	OsN22RS2_02T0360100.1	1620	1254	1295	LOC_Os04g37970.1	1563	1272	1337	2	31,10,	1254,1285,	1272,1327,
39	2	0	0	0	0	1	24	+	OsN22RS2_02T0360100.1	1620	1254	1295	LOC_Os04g37970	1563	1272	1337	2	31,10,	1254,1285,	1272,1327,
1278	71	0	0	4	156	5	54	+	OsN22RS2_02T0360100.1	1620	0	1505	LOC_Os02g36450.2	1753	66	1469	6	46,9,574,268,12,440,	0,59,181,756,1024,1065,	66,119,133,720,1007,1029,
62	1	0	0	0	0	0	0	+	OsN22RS2_02T0360100.1	1620	1557	1620	LOC_Os02g36450.2	1753	1	64	1	63,	1557,	1,
1383	76	0	0	3	46	5	55	+	OsN22RS2_02T0360100.1	1620	0	1505	LOC_Os02g36450.1	1866	66	1580	6	38,12,689,268,12,440,	0,54,66,756,1024,1065,	66,105,129,831,1118,1140,
62	1	0	0	0	0	0	0	+	OsN22RS2_02T0360100.1	1620	1557	1620	LOC_Os02g36450.1	1866	1	64	1	63,	1557,	1,
1383	76	0	0	3	46	5	55	+	OsN22RS2_02T0360100.1	1620	0	1505	LOC_Os02g36450	1866	66	1580	6	38,12,689,268,12,440,	0,54,66,756,1024,1065,	66,105,129,831,1118,1140,
62	1	0	0	0	0	0	0	+	OsN22RS2_02T0360100.1	1620	1557	1620	LOC_Os02g36450	1866	1	64	1	63,	1557,	1,
1452	38	0	0	1	15	2	132	+	OsN22RS2_02T0360100.1	1620	0	1505	LOC_Os02g36440.1	1912	0	1622	4	39,13,404,1034,	0,54,67,471,	0,39,67,588,
1452	38	0	0	1	15	2	132	+	OsN22RS2_02T0360100.1	1620	0	1505	LOC_Os02g36440	1912	0	1622	4	39,13,404,1034,	0,54,67,471,	0,39,67,588,
64	2	0	0	1	172	1	175	+	OsN22RS2_02T0360100.1	1620	416	654	LOC_Os01g38670.1	1824	489	730	2	50,16,	416,638,	489,714,
64	2	0	0	1	172	1	175	+	OsN22RS2_02T0360100.1	1620	416	654	LOC_Os01g38670	1824	489	730	2	50,16,	416,638,	489,714,
254	21	0	0	1	1	1	13	-	OsN22RS2_02T0360100.1	1620	618	894	LOC_Os01g65810.1	774	401	689	2	138,137,	726,865,	401,552,
254	21	0	0	1	1	1	13	-	OsN22RS2_02T0360100.1	1620	618	894	LOC_Os01g65810	774	401	689	2	138,137,	726,865,	401,552,
32	1	0	0	0	0	0	0	+	OsN22RS2_02T0360100.2	1566	1446	1479	LOC_Os08g08070.1	2060	1485	1518	1	33,	1446,	1485,
32	1	0	0	0	0	0	0	+	OsN22RS2_02T0360100.2	1566	1446	1479	LOC_Os08g08070	2060	1485	1518	1	33,	1446,	1485,
1429	14	0	0	1	123	1	3	+	OsN22RS2_02T0360100.2	1566	0	1566	LOC_Os02g36450.2	1753	66	1512	2	64,1379,	0,187,	66,133,
1539	17	0	0	1	10	1	1	+	OsN22RS2_02T0360100.2	1566	0	1566	LOC_Os02g36450.1	1866	66	1623	2	64,1492,	0,74,	66,131,
1539	17	0	0	1	10	1	1	+	OsN22RS2_02T0360100.2	1566	0	1566	LOC_Os02g36450	1866	66	1623	2	64,1492,	0,74,	66,131,
1444	61	0	0	5	61	4	160	+	OsN22RS2_02T0360100.2	1566	0	1566	LOC_Os02g36440.1	1912	0	1665	7	51,8,407,285,259,12,483,	0,54,70,477,783,1061,1083,	0,51,64,588,882,1141,1182,
1444	61	0	0	5	61	4	160	+	OsN22RS2_02T0360100.2	1566	0	1566	LOC_Os02g36440	1912	0	1665	7	51,8,407,285,259,12,483,	0,54,70,477,783,1061,1083,	0,51,64,588,882,1141,1182,
115	4	0	0	3	926	3	914	+	OsN22RS2_02T0360100.2	1566	422	1467	LOC_Os01g38670.1	1824	489	1522	4	50,39,9,21,	422,1267,1316,1446,	489,1322,1461,1501,
115	4	0	0	3	926	3	914	+	OsN22RS2_02T0360100.2	1566	422	1467	LOC_Os01g38670	1824	489	1522	4	50,39,9,21,	422,1267,1316,1446,	489,1322,1461,1501,
1340	32	0	0	2	29	2	35	+	OsN22RS2_02T0360500.1	1707	306	1707	LOC_Os02g36490.3	1661	0	1407	4	187,22,891,272,	306,493,519,1435,	0,219,244,1135,
1365	32	0	0	1	4	2	35	+	OsN22RS2_02T0360500.1	1707	306	1707	LOC_Os02g36490.2	1686	0	1432	3	187,22,1188,	306,493,519,	0,219,244,
1379	32	0	0	1	4	3	55	+	OsN22RS2_02T0360500.1	1707	292	1707	LOC_Os02g36490.1	1848	128	1594	4	54,147,22,1188,	292,346,493,519,	128,202,381,406,
1379	32	0	0	1	4	3	55	+	OsN22RS2_02T0360500.1	1707	292	1707	LOC_Os02g36490	1848	128	1594	4	54,147,22,1188,	292,346,493,519,	128,202,381,406,
1004	1	0	0	0	0	0	0	+	OsN22RS2_02T0148200.1	1017	12	1017	LOC_Os02g36500.1	1371	0	1005	1	1005,	12,	0,
1004	1	0	0	0	0	0	0	+	OsN22RS2_02T0148200.1	1017	12	1017	LOC_Os02g36500	1371	0	1005	1	1005,	12,	0,
1004	1	0	0	0	0	0	0	+	OsN22RS2_02T0148200.2	1017	12	1017	LOC_Os02g36500.1	1371	0	1005	1	1005,	12,	0,
