pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
GO:0008270_F_zinc_ion_binding	0.00106382978723404	0.11063829787234	0.885470085470085	2.35696387329101	0	13	LOC_Os12g38510, LOC_Os05g35610, LOC_Os05g28120, LOC_Os04g53020, LOC_Os04g48300, LOC_Os04g40350, LOC_Os04g27320
GO:0003676_F_nucleic_acid_binding	0.00793650793650794	0.412698412698413	0.905765765765766	1.64160376067436	5	3	LOC_Os05g28120, LOC_Os04g27320
GO:0005215_F_transporter_activity	0.0564516129032258	0.933922023497718	-0.783783783783784	-1.49884913161749	13	3	LOC_Os02g36414, LOC_Os02g36570, LOC_Os02g36700
GO:0005737_C_cytoplasm	0.0609137055837563	0.933922023497718	-0.638888888888889	-1.54234084346323	11	5	LOC_Os02g36500, LOC_Os02g36619, LOC_Os02g36710, LOC_Os02g36740, LOC_Os02g36974
GO:0016301_F_kinase_activity	0.0790629575402635	0.933922023497718	0.853333333333333	1.36466414024264	53	2	LOC_Os02g37830, LOC_Os02g37590
GO:0003700_F_sequence-specific_DNA_binding_transcription_factor_activity	0.105504587155963	0.933922023497718	-0.671232876712329	-1.43495276653171	22	4	LOC_Os02g36510, LOC_Os02g36880, LOC_Os02g36890, LOC_Os02g36924
GO:0022891_F_substrate-specific_transmembrane_transporter_activity	0.137996219281664	0.933922023497718	-0.947368421052632	-1.27148065152681	72	1	LOC_Os02g36414
GO:0055085_P_transmembrane_transport	0.137996219281664	0.933922023497718	-0.947368421052632	-1.27148065152681	72	1	LOC_Os02g36414
GO:0003677_F_DNA_binding	0.157258064516129	0.933922023497718	-0.675675675675676	-1.29211132035991	38	3	LOC_Os02g36710, LOC_Os02g36880, LOC_Os02g36890
GO:0005575_C_cellular_component	0.2	0.933922023497718	-0.411764705882353	-1.24702005226644	17	9	LOC_Os02g36830, LOC_Os02g36840, LOC_Os02g36870, LOC_Os02g36880, LOC_Os02g36974, LOC_Os02g37010, LOC_Os02g37070, LOC_Os02g37320, LOC_Os02g37330
GO:0030528_F_obsolete_transcription_regulator_activity_(obsolete_GO:0030528)	0.22117202268431	0.933922023497718	-0.907894736842105	-1.21850229104652	116	1	LOC_Os02g36510
GO:0016020_C_membrane	0.223684210526316	0.933922023497718	0.491028241535341	1.21115556347447	203	9	LOC_Os02g37700, LOC_Os02g37590, LOC_Os02g37470, LOC_Os02g37430, LOC_Os02g37420
GO:0004672_F_protein_kinase_activity	0.225672877846791	0.933922023497718	0.907894736842105	1.21131993006993	108	1	LOC_Os02g37830
GO:0004674_F_protein_serine/threonine_kinase_activity	0.225672877846791	0.933922023497718	0.907894736842105	1.21131993006993	108	1	LOC_Os02g37830
GO:0005524_F_ATP_binding	0.225672877846791	0.933922023497718	0.907894736842105	1.21131993006993	108	1	LOC_Os02g37830
GO:0006468_P_protein_phosphorylation	0.225672877846791	0.933922023497718	0.907894736842105	1.21131993006993	108	1	LOC_Os02g37830
GO:0030154_P_cell_differentiation	0.249047013977128	0.933922023497718	0.599620235996202	1.1863548446157	195	4	LOC_Os02g37590, LOC_Os02g37580, LOC_Os02g37420
GO:0004607_F_phosphatidylcholine-sterol_O-acyltransferase_activity	0.277432712215321	0.933922023497718	0.881578947368421	1.17620920745921	133	1	LOC_Os02g37700
GO:0008150_P_biological_process	0.28125	0.933922023497718	-0.332875193970295	-1.14487824872659	17	12	LOC_Os02g36500, LOC_Os02g36590, LOC_Os02g36595, LOC_Os02g36710, LOC_Os02g36870, LOC_Os02g36890, LOC_Os02g36960, LOC_Os02g37000, LOC_Os02g37020, LOC_Os02g37070, LOC_Os02g37140
GO:0006629_P_lipid_metabolic_process	0.28843710292249	0.933922023497718	0.576009213237968	1.13964019165035	226	4	LOC_Os02g37700, LOC_Os02g37590, LOC_Os02g37470, LOC_Os02g37050
GO:0007275_P_multicellular_organismal_development	0.297331639135959	0.933922023497718	0.573630136986301	1.13493316465653	233	4	LOC_Os02g37590, LOC_Os02g37580, LOC_Os02g37420
GO:0009653_P_anatomical_structure_morphogenesis	0.301143583227446	0.933922023497718	0.56857098381071	1.12492357772265	236	4	LOC_Os02g37590, LOC_Os02g37580
GO:0003824_F_catalytic_activity	0.302752293577982	0.933922023497718	-0.547945205479452	-1.17139001349528	65	4	LOC_Os02g36550, LOC_Os02g36600, LOC_Os02g37010, LOC_Os02g37050
GO:0005623_C_cell	0.313664596273292	0.933922023497718	-0.706666666666667	-1.14219536757301	100	2	LOC_Os02g36700, LOC_Os02g36850
GO:0005622_C_intracellular	0.326500732064422	0.933922023497718	0.693333333333333	1.10878961394714	222	2	LOC_Os02g37430, LOC_Os02g37420
GO:0016049_P_cell_growth	0.351969504447268	0.933922023497718	0.545141764893278	1.07856862553849	276	4	LOC_Os02g37590, LOC_Os02g37580, LOC_Os02g37420
GO:0016853_F_isomerase_activity	0.357277882797732	0.933922023497718	-0.828947368421053	-1.11254557008596	188	1	LOC_Os02g36600
