pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
35.2_not_assigned.unknown	0.00201816347124117	0.0585267406659939	0.594510831855678	1.80621305616471	1	42	LOC_Os12g38510, LOC_Os05g35610, LOC_Os04g53020, LOC_Os04g48300, LOC_Os04g40350, LOC_Os04g27320, LOC_Os02g37820, LOC_Os02g37600, LOC_Os02g37570, LOC_Os02g37550, LOC_Os02g37540, LOC_Os02g37520, LOC_Os02g37500, LOC_Os02g37490, LOC_Os02g37480, LOC_Os02g37440, LOC_Os02g37390, LOC_Os02g37380, LOC_Os02g37360, LOC_Os02g37330, LOC_Os02g37320, LOC_Os02g37260, LOC_Os02g37250, LOC_Os02g37200, LOC_Os02g37190, LOC_Os02g37160, LOC_Os02g37120, LOC_Os02g37100, LOC_Os02g37070, LOC_Os02g37050
27.3.99_RNA.regulation_of_transcription.unclassified	0.0231481481481481	0.335648148148148	0.922700421940928	1.45750776456847	14	2	LOC_Os05g28120, LOC_Os02g02610
20.1_stress.biotic	0.0807799442896936	0.780872794800371	-0.853333333333333	-1.40573041290877	28	2	LOC_Os02g36590, LOC_Os02g36595
34.2_transport.sugars	0.166666666666667	0.892518939393939	-0.947368421052632	-1.30007537860618	87	1	LOC_Os02g36414
29.4_protein.postranslational_modification	0.221544715447154	0.892518939393939	0.907894736842105	1.23704677401687	108	1	LOC_Os02g37830
27.3.19_RNA.regulation_of_transcription.EIN3-like(EIL)_transcription_factor_family	0.221590909090909	0.892518939393939	-0.907894736842105	-1.24590557116426	116	1	LOC_Os02g36510
29.5.11.4.3.2_protein.degradation.ubiquitin.E3.SCF.FBOX	0.238636363636364	0.892518939393939	-0.894736842105263	-1.22784896868361	125	1	LOC_Os02g36520
20.2_stress.abiotic	0.295454545454545	0.892518939393939	-0.868421052631579	-1.19173576372233	155	1	LOC_Os02g36570
11.9.3.3_lipid_metabolism.lipid_degradation.lysophospholipases.glycerophosphodiester_phosphodiesterase	0.33739837398374	0.892518939393939	0.842105263157895	1.14740570343594	165	1	LOC_Os02g37590
3.5_minor_CHO_metabolism.others	0.357954545454545	0.892518939393939	-0.828947368421053	-1.13756595628041	188	1	LOC_Os02g36600
31.4_cell.vesicle_transport	0.380681818181818	0.892518939393939	-0.815789473684211	-1.11950935379977	200	1	LOC_Os02g36619
34.2.1_transport.sugars.sucrose	0.464015151515151	0.892518939393939	-0.763157894736842	-1.0472829438772	244	1	LOC_Os02g36700
28.1_DNA.synthesis/chromatin_structure	0.484848484848485	0.892518939393939	-0.75	-1.02922634139656	255	1	LOC_Os02g36710
19.40_tetrapyrrole_synthesis.regulation	0.571138211382114	0.892518939393939	0.723684210526316	0.986051776390259	280	1	LOC_Os02g37470
1.1.1.2_PS.lightreaction.photosystem_II.PSII_polypeptide_subunits	0.583333333333333	0.892518939393939	-0.697368421052632	-0.956999931473994	307	1	LOC_Os02g36850
27.1_RNA.processing	0.599593495934959	0.892518939393939	0.697368421052632	0.950195348157886	294	1	LOC_Os02g37430
30.5_signalling.G-proteins	0.642276422764228	0.892518939393939	0.684210526315789	0.932267134041699	315	1	LOC_Os02g37420
29.5.11.4.2_protein.degradation.ubiquitin.E3.RING	0.654596100278552	0.892518939393939	-0.546666666666667	-0.900546045769679	234	2	LOC_Os02g36740, LOC_Os02g37030
27.3.25_RNA.regulation_of_transcription.MYB_domain_transcription_factor_family	0.662878787878788	0.892518939393939	-0.657894736842105	-0.90283012403207	349	1	LOC_Os02g36890
27.3.24_RNA.regulation_of_transcription.MADS_box_transcription_factor_family	0.683712121212121	0.892518939393939	-0.644736842105263	-0.884773521551428	360	1	LOC_Os02g36924
26.2_misc.UDP_glucosyl_and_glucoronyl_transferases	0.737837837837838	0.892518939393939	0.463079150579151	0.83453421245124	545	3	LOC_Os02g37690, LOC_Os02g36840, LOC_Os02g36830
34.99_transport.misc	0.746212121212121	0.892518939393939	-0.618421052631579	-0.848660316590146	393	1	LOC_Os02g36960
30.7_signalling.14-3-3_proteins	0.759469696969697	0.892518939393939	-0.605263157894737	-0.830603714109504	400	1	LOC_Os02g36974
31.1_cell.organisation	0.817901234567901	0.892518939393939	0.493333333333333	0.779274775166203	529	2	LOC_Os02g37580, LOC_Os02g36990
31.2_cell.division	0.821969696969697	0.892518939393939	-0.578947368421053	-0.794490509148221	433	1	LOC_Os02g37000
9.1.1_mitochondrial_electron_transport_/_ATP_synthesis.NADH-DH.complex_I	0.821969696969697	0.892518939393939	-0.578947368421053	-0.794490509148221	433	1	LOC_Os02g37000
33.99_development.unspecified	0.835654596100279	0.892518939393939	-0.466666666666667	-0.768758819559482	299	2	LOC_Os02g36880, LOC_Os02g37140
26.7_misc.oxidases_-_copper,_flavone_etc.	0.861742424242424	0.892518939393939	-0.565789473684211	-0.77643390666758	454	1	LOC_Os02g37010
11.8.1_lipid_metabolism.'exotics'_(steroids,_squalene_etc).sphingolipids	1	1	0	0	527	1	
